Global Code,Global Name,Region Code,Region Name,Sub-region Code,Sub-region Name,Intermediate Region Code,Intermediate Region Name,Common Name,Official Name,Capital,Territory of,M49 Code,ISO-alpha3 Code,Least Developed Countries (LDC),Land Locked Developing Countries (LLDC),Small Island Developing States (SIDS),Developed / Developing Countries
1,World,19,Americas,419,Latin America and the Caribbean,29,Caribbean,BES Islands,"""Bonaire, Sint Eustatius, and Saba""",Kralendijk,Netherlands,535,BES,,,x,Developing
1,World,142,Asia,30,Eastern Asia,,,Hong Kong,Hong Kong Special Administrative Region of the People's Republic of China,Hong Kong,China,344,HKG,,,,Developing
1,World,142,Asia,30,Eastern Asia,,,Macao,Macao Special Administrative Region of the People's Republic of China,Macao,China,446,MAC,,,,Developing
1,World,2,Africa,15,Northern Africa,,,Algeria,People's Democratic Republic of Algeria,Algiers,,12,DZA,,,,Developing
1,World,2,Africa,15,Northern Africa,,,Egypt,Arab Republic of Egypt,Cairo,,818,EGY,,,,Developing
1,World,2,Africa,15,Northern Africa,,,Libya,State of Libya,Tripoli,,434,LBY,,,,Developing
1,World,2,Africa,15,Northern Africa,,,Morocco,Kingdom of Morocco,Rabat,,504,MAR,,,,Developing
1,World,2,Africa,15,Northern Africa,,,Sudan,Republic of the Sudan,Khartoum,,729,SDN,x,,,Developing
1,World,2,Africa,15,Northern Africa,,,Tunisia,Republic of Tunisia,Tunis,,788,TUN,,,,Developing
1,World,2,Africa,15,Northern Africa,,,Western Sahara,Western Sahara,Tafariti,,732,ESH,,,,Developing
1,World,2,Africa,202,Sub-Saharan Africa,14,Eastern Africa,British Indian Ocean Territory,British Indian Ocean Territory,Camp Justice,United Kingdom,86,IOT,,,,Developing
1,World,2,Africa,202,Sub-Saharan Africa,14,Eastern Africa,Burundi,Republic of Burundi,Gitega,,108,BDI,x,x,,Developing
1,World,2,Africa,202,Sub-Saharan Africa,14,Eastern Africa,Comoros,Union of the Comoros,Moroni,,174,COM,x,,x,Developing
